experience,limitation,goal,days,routine_type,coach_approved_by
beginner,none,hypertrophy,3,fullbody_hypertrophy,Coach Ana
beginner,none,hypertrophy,4,upper_lower_hypertrophy,Coach Luis
beginner,none,hypertrophy,5,push_pull_legs_base,Coach Ana
intermediate,none,hypertrophy,3,fullbody_strength_hypertrophy,Coach Luis
intermediate,none,hypertrophy,4,upper_lower_hypertrophy,Coach Ana
intermediate,none,hypertrophy,5,push_pull_legs_hypertrophy,Coach Luis
beginner,upper_body,hypertrophy,3,fullbody_machine_safe,Coach Ana
beginner,upper_body,hypertrophy,4,lower_focus_upper_safe,Coach Luis
intermediate,upper_body,hypertrophy,4,upper_lower_joint_safe,Coach Ana
intermediate,upper_body,hypertrophy,5,push_pull_legs_joint_safe,Coach Luis
beginner,lower_body,hypertrophy,3,fullbody_machine_safe,Coach Ana
intermediate,lower_body,hypertrophy,4,upper_lower_joint_safe,Coach Luis
beginner,none,recomposition,3,fullbody_recomposition,Coach Ana
beginner,none,recomposition,4,upper_lower_recomposition,Coach Luis
beginner,none,recomposition,5,push_pull_legs_conditioning,Coach Ana
intermediate,none,recomposition,3,fullbody_recomposition,Coach Luis
intermediate,none,recomposition,4,upper_lower_recomposition,Coach Ana
intermediate,none,recomposition,5,push_pull_legs_conditioning,Coach Luis
beginner,upper_body,recomposition,3,fullbody_machine_safe,Coach Ana
intermediate,upper_body,recomposition,4,upper_lower_joint_safe,Coach Luis
beginner,lower_body,recomposition,3,low_impact_recomposition,Coach Ana
intermediate,lower_body,recomposition,4,low_impact_upper_lower,Coach Luis
beginner,none,conditioning,3,fullbody_conditioning,Coach Ana
beginner,none,conditioning,4,upper_lower_conditioning,Coach Luis
beginner,none,conditioning,5,push_pull_legs_conditioning,Coach Ana
intermediate,none,conditioning,3,fullbody_conditioning,Coach Luis
intermediate,none,conditioning,4,upper_lower_conditioning,Coach Ana
intermediate,none,conditioning,5,push_pull_legs_conditioning,Coach Luis
beginner,upper_body,conditioning,3,fullbody_conditioning_safe,Coach Ana
intermediate,upper_body,conditioning,4,upper_lower_joint_safe,Coach Luis
beginner,lower_body,conditioning,3,low_impact_conditioning,Coach Ana
intermediate,lower_body,conditioning,4,low_impact_upper_lower,Coach Luis
